t5_30,"Доля научных работников, имеющих ученые степени, %"
t4_4_15.00.00_3,"15.00.00 - Машиностроение, Доля приведенного контингента студентов от общего приведенного контингента студентов, обучающихся по данной   в регионе"
2.1400000000000001,"Удельный вес научно-педагогических работников, защитивших кандидатские и докторские диссертации за отчетный период в общей численности НПР, %"
t2_2_E.7,"Приведенный контингент, Пороговое значение"
t2_1_E.6,"Трудоустройство, Значение показателя"
3.2000000000000002,"Удельный вес численности иностранных студентов из СНГ, обучающихся по программам бакалавриата, специалитета, магистратуры, в общей численности студентов (приведенный контингент), %"
3.1299999999999999,"Объем средств от образовательной деятельности, полученных образовательной организацией от иностранных граждан и иностранных юридических лиц, тыс.руб."
4.4000000000000004,"Доходы образовательной организации из всех источников в расчете на численность студентов (приведенный контингент), тыс.руб."
t2_2_E.6,"Трудоустройство, Пороговое значение"
null
t5_42,"Доходы филиала из иностранных источников на выполнение НИОКР, тыс. руб."
t5_31,"Доля ППС возрастной категории моложе 65 лет, %"
2.2000000000000002,"Количество цитирований публикаций, изданных за последние 5 лет, индексируемых в информационно-аналитической системе научного цитирования Scopus в расчете на 100 НПР, ед."
t5_47,"Площадь учебно-лабораторных зданий, м"
t5_38,"Общее число образовательных программ высшего образования, реализуемых совместно с зарубежными вузами и ведущих к получению двух дипломов, ед."
t5_29,"Доля ППС, имеющих ученые степени, %"
t5_28,"Общая численность научных работников (без внешних совместителей и работающих по договорам ГПХ), чел."
1.5,"Численность студентов, победителей и призеров заключительного этапа всероссийской олимпиады школьников, членов сборных команд Российской Федерации, участвовавших в международных олимпиадах по общеобразовательным предметам по специальностям и (или) направлениям подготовки, соответствующим профилю всероссийской олимпиады школьников или международной олимпиады, принятых на очную форму обучения на первый курс по программам бакалавриата и специалитета без вступительных испытаний, человек"
t4_4_09.00.00_3,"09.00.00 - Информатика и вычислительная техника, Доля приведенного контингента студентов от общего приведенного контингента студентов, обучающихся по данной   в регионе"
3.6000000000000001,"Удельный вес численности студентов, обучающихся по очной форме обучения по образовательным программам бакалавриата, программам специалитета, программам магистратуры, прошедших обучение за рубежом не менее семестра (триместра), в общей численности студентов, обучающихся по очной форме обучения, %"
t2_1_E.7,"Приведенный контингент, Значение показателя"
t5_58,"Доля доходов филиала  из внебюджетных источников, %"
t2_2_E.2,"Научно-исследовательская деятельность, Пороговое значение"
t5_25
6.0999999999999996,"Удельный вес выпускников, трудоустроившихся в течение календарного года, следующего за годом выпуска, в общей численности выпускников образовательной организации обучавшихся по основным образовательным программам высшего образования, %"
t5_63,"Доля внебюджетных средств в доходах от образовательной деятельности, %"
t5_27,"Общая численность ППС (без внешних совместителей и работающих по договорам ГПХ), чел."
3.2999999999999998,"Удельный вес численности иностранных студентов, завершивших освоение образовательных программ бакалавриата, специалитета, магистратуры, в общей численности студентов (приведенный контингент), %"
t5_61,"Доля доходов филиала  от образовательной деятельности в общих доходах филиала , %"
t5_37,"Доля иностранных студентов в общей численности студентов, обучающихся по программам бакалавриата, специалитета, магистратуры, %"
status,"Последний доступный статус, 1 – полностью лишен ГА, 2 – запрещен прием, 3 – прекращено действие лицензии, 4 – лишен аккредитации по отдельным направлениям, 5 – приостановлено действие лицензии"
comment,Пресс-релиз Рособрнадзора / Данные из реестра
comment_date,Дата опубликования пресс-релиза / приказа
