,branch,null,response,solution_type,"Вид свидетельства (свидетельство, временное свидетельство)",Дата выдачи свидетельства,Дата публикации сведений в сводном реестре,ИНН,"Место нахождения образовательной организации или организации, осуществляющей обучение","Наименование аккредитационного органа, выдавшего свидетельство",ОГРН,key,"Полное наименование образовательной организации или организации, осуществляющей обучение",Регистрационный номер свидетельства,"Серия, номер бланка свидетельства","Сокращённое наименование образовательной организации или организации, осуществляющей обучение",Срок действия свидетельства,Субъект РФ,Текущий статус свидетельства
716,{},,<HtmlResponse 200 http://isga.obrnadzor.gov.ru/accredreestr/details/fc211098-a4b7-4a8d-b0b8-9a979253e3b6/1/>,{'Распоряжение о переоформлении': 'Распоряжение от 15.11.2016 №2920-06'},Постоянное,28.03.2016,01.09.2016,2724021471,"Российская Федерация, 680017, город Хабаровск, улица Большая, дом 85",Федеральная служба по надзору в сфере образования и науки,1022701290710,,федеральное государственное казенное образовательное учреждение высшего образования «Хабаровский пограничный институт Федеральной службы безопасности Российской Федерации»,1793,90А01 0001886,ФГКОУ ХПИ ФСБ России,09.10.2021,Хабаровский край,Действующее
717,{},,<HtmlResponse 200 http://isga.obrnadzor.gov.ru/accredreestr/details/6836ed50-41c4-4ba0-b6f6-e2bd57720f40/1/>,{},Постоянное,28.03.2016,31.08.2016,6350000865,"ул. Учебная, 2, п.г.т. Усть-Кинельский, г. Кинель, Самарская область,  446442",Федеральная служба по надзору в сфере образования и науки,1026303273061,u719,федеральное государственное бюджетное образовательное учреждение высшего образования «Самарская государственная сельскохозяйственная академия»,1779,90А01 0001872,ФГБОУ ВО Самарская ГСХА,13.05.2020,Самарская область,Действующее
718,{},,<HtmlResponse 200 http://isga.obrnadzor.gov.ru/accredreestr/details/df9390ad-a92e-489d-ac73-a2f4650e4d66/1/>,{},Постоянное,25.03.2016,15.08.2016,1659017872,"420059, Республика Татарстан, г. Казань, Оренбургский тракт, д. 3",Федеральная служба по надзору в сфере образования и науки,1021603477411,u720,федеральное государственное бюджетное образовательное учреждение высшего образования «Казанский государственный институт культуры»,1774,90А01 0001867,Казанский государственный институт культуры,13.11.2019,Республика Татарстан (Татарстан),Действующее
719,{},,<HtmlResponse 200 http://isga.obrnadzor.gov.ru/accredreestr/details/bd7f3161-b0ab-4651-9812-0a724b3dda00/1/>,{},Постоянное,25.03.2016,16.08.2016,5406108519,"630099, г. Новосибирск, Красный проспект, д. 38",Федеральная служба по надзору в сфере образования и науки,1025402449819,,"федеральное государственное бюджетное образовательное учреждение высшего образования «Новосибирский государственный университет архитектуры, дизайна и искусств»",1786,90А01 0001879,"ФГБОУ ВО «Новосибирский государственный университет архитектуры, дизайна и искусств», ФГБОУ ВО «НГУАДИ», НГУАДИ",01.04.2020,Новосибирская область,Действующее
720,{},,<HtmlResponse 200 http://isga.obrnadzor.gov.ru/accredreestr/details/e4b6b5c6-7bf8-4c63-8ca8-a4dcb1ee8016/1/>,{},Постоянное,25.03.2016,01.09.2016,7720490619,"111395, г. Москва, ул. Юности, 5",Федеральная служба по надзору в сфере образования и науки,1127799015277,u722,Автономная некоммерческая организация высшего  образования «Московский гуманитарный университет»,1775,90А01 0001868,АНО ВО «Московский гуманитарный университет» или «Московский гуманитарный университет» или АНО ВО «МосГУ» или «МосГУ»,24.04.2019,г. Москва,Действующее
721,{},,<HtmlResponse 200 http://isga.obrnadzor.gov.ru/accredreestr/details/4c15b296-fd31-4108-92db-b9ee32e70f8c/1/>,{},Постоянное,25.03.2016,01.09.2016,8603039002,"628602, Ханты-Мансийский автономный округ - Югра, город  Нижневартовск, улица Ленина, 56",Федеральная служба по надзору в сфере образования и науки,1028600965997,u723,федеральное государственное бюджетное образовательное учреждение высшего образования «Нижневартовский государственный  университет»,1813,90А01 0001906,"ФГБОУ ВПО «Нижневартовский государственный университет», ФГБОУ ВПО «НВГУ»",14.01.2021,Ханты-Мансийский автономный округ - Югра,Действующее
722,{},,<HtmlResponse 200 http://isga.obrnadzor.gov.ru/accredreestr/details/959dfaa1-09bf-4266-989e-91712a00e108/1/>,{},Постоянное,23.03.2016,01.09.2016,7722019652,"111250, г. Москва, ул. Красноказарменная, д. 14",Федеральная служба по надзору в сфере образования и науки,1027700251644,u724,федеральное государственное бюджетное образовательное учреждение высшего образования «Национальный исследовательский университет «МЭИ»,1769,90А01 0001862,ФГБОУ ВО «НИУ «МЭИ»,23.03.2022,г. Москва,Действующее
723,{},,<HtmlResponse 200 http://isga.obrnadzor.gov.ru/accredreestr/details/4f7d127b-f18c-4d4c-b8cd-812313ebbb59/1/>,{},Постоянное,23.03.2016,11.10.2016,6320005908,"Самарская область, Ставропольский район, Ставропольский лесхоз, Ягодинское лесничество, квартал № 5, оздоровительный комплекс «Алые паруса», корпус № 5",Федеральная служба по надзору в сфере образования и науки,1026302002957,u725,Частное образовательное учреждение высшего образования «Тольяттинская академия управления»,2269,90А01 0002391,ЧОУ ВО «Тольяттинская академия управления»,23.03.2022,Самарская область,Действующее
724,{},,<HtmlResponse 200 http://isga.obrnadzor.gov.ru/accredreestr/details/81984211-c0ff-4045-9115-0462e47b6127/1/>,{},Постоянное,23.03.2016,11.10.2016,6320005908,"Самарская область, Ставропольский район, Ставропольский лесхоз, Ягодинское лесничество, квартал № 5, оздоровительный комплекс «Алые паруса», корпус № 5",Федеральная служба по надзору в сфере образования и науки,1026302002957,u725,Частное образовательное учреждение высшего образования «Тольяттинская академия управления»,2270,90А01 0002392,ЧОУ ВО «Тольяттинская академия управления»,23.03.2028,Самарская область,Действующее
725,{},,<HtmlResponse 200 http://isga.obrnadzor.gov.ru/accredreestr/details/08c5e1bb-bfcc-47e9-932c-09b3dee1ca83/1/>,{},Постоянное,17.03.2016,16.08.2016,2634003069,"355017, Ставропольский край, г. Ставрополь, переулок Зоотехнический, 12",Федеральная служба по надзору в сфере образования и науки,1022601993468,u727,федеральное государственное бюджетное образовательное учреждение высшего образования «Ставропольский государственный аграрный университет»,1754,90А01 0001847,ФГБОУ ВО Ставропольский ГАУ,29.04.2020,Ставропольский край,Действующее
