,branch,null,response,solution_type,"Вид свидетельства (свидетельство, временное свидетельство)",Дата выдачи свидетельства,Дата публикации сведений в сводном реестре,ИНН,"Место нахождения образовательной организации или организации, осуществляющей обучение","Наименование аккредитационного органа, выдавшего свидетельство",ОГРН,key,"Полное наименование образовательной организации или организации, осуществляющей обучение",Регистрационный номер свидетельства,"Серия, номер бланка свидетельства","Сокращённое наименование образовательной организации или организации, осуществляющей обучение",Срок действия свидетельства,Субъект РФ,Текущий статус свидетельства
452,"{'Автономная некоммерческая образовательная организация высшего образования ""Байкальский институт управления""': ['Распоряжение от 26.10.2016 №2759-06', 'Действующее']}",,<HtmlResponse 200 http://isga.obrnadzor.gov.ru/accredreestr/details/0b0e1111-100e-0b0e-1010-0c120b0a0c12/1/>,{'Распоряжение о переоформлении': 'Распоряжение от 26.10.2016 №2759-06'},Постоянное,26.10.2016,28.10.2016,3808195437,"664003, Иркутская область, г.  Иркутск, ул. Красного Восстания, дом  9",Федеральная служба по надзору в сфере образования и науки,1163850074827,u453,"Автономная некоммерческая образовательная организация высшего образования ""Байкальский институт управления""",2310,90А01 0002432,"АНО ОВО ""БИУ""",13.03.2020,Иркутская область,Действующее
453,"{'Автономная некоммерческая организация высшего образования «Московский православный институт святого Иоанна Богослова»': ['Распоряжение от 25.10.2016 №2755-06', 'Действующее']}",,<HtmlResponse 200 http://isga.obrnadzor.gov.ru/accredreestr/details/0b0e1111-100e-0a0e-0a11-0d0a0f13130b/1/>,{'Распоряжение о переоформлении': 'Распоряжение от 25.10.2016 №2755-06'},Постоянное,25.10.2016,28.10.2016,7710041290,"127473, г. Москва, переулок Чернышевского, д. 11 А, стр. 1",Федеральная служба по надзору в сфере образования и науки,1037700087919,u454,Автономная некоммерческая организация высшего образования «Московский православный институт святого Иоанна Богослова»,2309,90А01 0002431,"АНО ВО ""МПИ св. Иоанна Богослова""",02.02.2021,г. Москва,Действующее
454,"{'федеральное государственное бюджетное образовательное учреждение высшего образования «Тихоокеанский государственный медицинский университет» Министерства здравоохранения Российской Федерации': ['Распоряжение от 25.10.2016 №2752-06', 'Действующее']}",,<HtmlResponse 200 http://isga.obrnadzor.gov.ru/accredreestr/details/0b0e1111-100d-0f11-0d0f-111311120e0d/1/>,{'Распоряжение о переоформлении': 'Распоряжение от 25.10.2016 №2752-06'},Постоянное,25.10.2016,28.10.2016,2538017661,"690000, Приморский край, город  Владивосток, Проспект Острякова, дом 2",Федеральная служба по надзору в сфере образования и науки,1022501895877,u455,федеральное государственное бюджетное образовательное учреждение высшего образования «Тихоокеанский государственный медицинский университет» Министерства здравоохранения Российской Федерации,2306,90А01 0002428,ФГБОУ ВО ТГМУ Минздрава России,29.12.2020,Приморский край,Действующее
455,"{'федеральное государственное бюджетное образовательное учреждение высшего образования «Тихоокеанский государственный медицинский университет» Министерства здравоохранения Российской Федерации': ['Распоряжение от 25.10.2016 №2753-06', 'Действующее']}",,<HtmlResponse 200 http://isga.obrnadzor.gov.ru/accredreestr/details/0b0e1111-100d-0f11-0d10-0a0e0f0a0e0e/1/>,{'Распоряжение о переоформлении': 'Распоряжение от 25.10.2016 №2753-06'},Постоянное,25.10.2016,28.10.2016,2538017661,"690000, Приморский край, город  Владивосток, Проспект Острякова, дом 2",Федеральная служба по надзору в сфере образования и науки,1022501895877,u455,федеральное государственное бюджетное образовательное учреждение высшего образования «Тихоокеанский государственный медицинский университет» Министерства здравоохранения Российской Федерации,2307,90А01 0002429,ФГБОУ ВО ТГМУ Минздрава России,29.12.2026,Приморский край,Действующее
456,{},,<HtmlResponse 200 http://isga.obrnadzor.gov.ru/accredreestr/details/0b0e1111-0d12-110f-0a0d-100c0d0c0e0e/1/>,{},Постоянное,21.10.2016,25.10.2016,2309147242,"350063, г. Краснодар, ул. Красина, д. 4",Федеральная служба по надзору в сфере образования и науки,1157847300665,,федеральное государственное казенное военное образовательное учреждение высшего образования «Краснодарское высшее военное училище имени генерала армии С.М.Штеменко» Министерства обороны Российской Федерации,2304,90А01 0002426,Краснодарское высшее военное училище,21.10.2022,Краснодарский край,Действующее
457,"{'федеральное государственное бюджетное образовательное учреждение высшего образования «Ростовский государственный медицинский университет» Министерства здравоохранения Российской Федерации': ['Приказ от 21.02.2018 №229', 'Действующее']}",,<HtmlResponse 200 http://isga.obrnadzor.gov.ru/accredreestr/details/0b0e1111-0d11-120a-1313-0d0e0a0f0f13/1/>,{'Распоряжение о переоформлении': 'Распоряжение от 20.10.2016 №2703-06'},Постоянное,20.10.2016,25.10.2016,6163032850,"344022, Ростовская область, город Ростов-на-Дону, переулок Нахичеванский, дом 29",Федеральная служба по надзору в сфере образования и науки,1026103165736,u458,федеральное государственное бюджетное образовательное учреждение высшего образования «Ростовский государственный медицинский университет» Министерства здравоохранения Российской Федерации,2296,90А01 0002418,ФГБОУ ВО РостГМУ Минздрава России,31.05.2019,Ростовская область,Действующее
458,"{'федеральное государственное бюджетное образовательное учреждение высшего образования «Балтийский государственный технический университет «ВОЕНМЕХ» им. Д.Ф. Устинова»': ['Приказ от 16.06.2017 №1015', 'Действующее']}",,<HtmlResponse 200 http://isga.obrnadzor.gov.ru/accredreestr/details/0b0e1111-0d11-1210-1213-0d130f0b0d10/1/>,{'Распоряжение о переоформлении': 'Распоряжение от 20.10.2016 №2705-06'},Постоянное,20.10.2016,25.10.2016,7809003047,"190005, г. Санкт-Петербург, ул. 1-я Красноармейская, д. 1",Федеральная служба по надзору в сфере образования и науки,1027810328721,u459,федеральное государственное бюджетное образовательное учреждение высшего образования «Балтийский государственный технический университет «ВОЕНМЕХ» им. Д.Ф. Устинова»,2298,90А01 0002420,БГТУ «ВОЕНМЕХ» им. Д.Ф. Устинова,12.12.2019,г. Санкт-Петербург,Действующее
459,"{'федеральное государственное бюджетное образовательное учреждение высшего образования «Северо-Кавказская государственная гуманитарно-технологическая академия»': ['Приказ от 16.05.2017 №784', 'Действующее']}",,<HtmlResponse 200 http://isga.obrnadzor.gov.ru/accredreestr/details/0b0e1111-0d12-0a0b-1210-0c0b12130b0b/1/>,{'Распоряжение о переоформлении': 'Распоряжение от 02.02.2017 №201-06'},Постоянное,20.10.2016,25.10.2016,901006061,"369000, Карачаево-Черкесская Республика, г. Черкесск, ул. Ставропольская, д. 36",Федеральная служба по надзору в сфере образования и науки,1030900711335,u460,федеральное государственное бюджетное образовательное учреждение высшего образования «Северо-Кавказская государственная гуманитарно-технологическая академия»,2487 (ДУБЛИКАТ),90А01 0002613,"ФГБОУ ВО ""СевКавГГТА"", Северо-Кавказская государственная гуманитарно-технологическая  академия",09.01.2020,Карачаево-Черкесская Республика,Действующее
460,"{'Апатитский филиал федерального государственного бюджетного образовательного учреждения высшего образования «Мурманский государственный технический университет»': ['Распоряжение от 20.10.2016 №2706-06', 'Действующее'], 'федеральное государственное бюджетное образовательное учреждение высшего образования «Мурманский государственный технический университет»': ['Приказ от 18.04.2018 №467', 'Действующее'], '«Архангельский морской рыбопромышленный техникум» филиал федерального государственного бюджетного образовательного учреждения высшего образования «Мурманский государственный технический университет»': ['Распоряжение от 20.10.2016 №2706-06', 'Действующее'], 'филиал федерального государственного бюджетного образовательного учреждения высшего образования «Мурманский государственный технический университет» в городе Полярный Мурманской области': ['Распоряжение от 20.10.2016 №2706-06', 'Действующее']}",,<HtmlResponse 200 http://isga.obrnadzor.gov.ru/accredreestr/details/0b0e1111-0d11-1213-0a12-1112100e0f10/1/>,{'Распоряжение о переоформлении': 'Распоряжение от 20.10.2016 №2706-06'},Постоянное,20.10.2016,25.10.2016,5190100176,"183010, г. Мурманск, ул. Спортивная, д. 13",Федеральная служба по надзору в сфере образования и науки,1025100848651,u461,федеральное государственное бюджетное образовательное учреждение высшего образования «Мурманский государственный технический университет»,2299,90А01 0002421,ФГБОУ ВО «МГТУ»,07.03.2020,Мурманская область,Действующее
461,"{'федеральное государственное бюджетное образовательное учреждение высшего образования «Новосибирский государственный медицинский университет» Министерства здравоохранения  Российской Федерации': ['Приказ от 25.04.2017 №671', 'Действующее']}",,<HtmlResponse 200 http://isga.obrnadzor.gov.ru/accredreestr/details/0b0e1111-0d12-0a0f-0b13-11100a0c1112/1/>,{'Распоряжение о переоформлении': 'Распоряжение от 20.10.2016 №2714-06'},Постоянное,20.10.2016,25.10.2016,5406011186,"630091, Новосибирская область, г. Новосибирск, Красный проспект,  52",Федеральная служба по надзору в сфере образования и науки,1025402466583,u462,федеральное государственное бюджетное образовательное учреждение высшего образования «Новосибирский государственный медицинский университет» Министерства здравоохранения  Российской Федерации,2302,90А01 0002424,ФГБОУ ВО НГМУ Минздрава России,31.03.2020,Новосибирская область,Действующее
462,{},,<HtmlResponse 200 http://isga.obrnadzor.gov.ru/accredreestr/details/0b0e1111-0d11-1311-0d0e-130e0d0c0d0d/1/>,{},Постоянное,20.10.2016,25.10.2016,3728012776,"153012, Ивановская область, город Иваново, Шереметевский проспект, дом 8",Федеральная служба по надзору в сфере образования и науки,1033700085649,u463,федеральное государственное бюджетное образовательное учреждение высшего образования «Ивановская государственная медицинская академия» Министерства здравоохранения Российской Федерации,2300,90А01 0002422,ФГБОУ ВО ИвГМА Минздрава России,10.12.2020,Ивановская область,Действующее
463,{},,<HtmlResponse 200 http://isga.obrnadzor.gov.ru/accredreestr/details/0b0e1111-0d11-120d-0b12-110b0f130e10/1/>,{},Постоянное,20.10.2016,25.10.2016,5027037060,"140032, Московская область, Люберецкий район, поселок Малаховка, ул. Шоссейная, д. 33",Федеральная служба по надзору в сфере образования и науки,1035005018510,u464,Федеральное государственное бюджетное образовательное учреждение высшего образования «Московская государственная академия физической культуры»,2297,90А01 0002419,ФГБОУ ВО МГАФК,08.07.2019,Московская область,Действующее
464,"{'федеральное государственное бюджетное образовательное учреждение высшего образования «Бурятская государственная сельскохозяйственная академия имени В.Р. Филиппова»': ['Приказ от 21.07.2017 №1258', 'Действующее']}",,<HtmlResponse 200 http://isga.obrnadzor.gov.ru/accredreestr/details/0b0e1110-1311-0b0b-1311-0f0e0a130b12/1/>,{'Распоряжение о переоформлении': 'Распоряжение от 14.10.2016 №2668-06'},Постоянное,14.10.2016,20.10.2016,323049356,"670024, Республика Бурятия, г. Улан-Удэ, ул. Пушкина, 8",Федеральная служба по надзору в сфере образования и науки,1020300980215,u465,федеральное государственное бюджетное образовательное учреждение высшего образования «Бурятская государственная сельскохозяйственная академия имени В.Р. Филиппова»,2293,90А01 0002415,ФГБОУ ВО «Бурятская ГСХА»,09.12.2020,Республика Бурятия,Действующее
465,"{'федеральное государственное бюджетное образовательное учреждение высшего образования «Курский государственный медицинский университет» Министерства здравоохранения  Российской Федерации': ['Приказ от 18.04.2018 №470', 'Действующее']}",,<HtmlResponse 200 http://isga.obrnadzor.gov.ru/accredreestr/details/0b0e1110-1111-0d11-0e0b-100b110e0c0d/1/>,{'Распоряжение о переоформлении': 'Распоряжение от 11.10.2016 №2647-06'},Постоянное,11.10.2016,18.10.2016,4629027572,"305041, Курская область,  г.  Курск, ул. Карла  Маркса, 3",Федеральная служба по надзору в сфере образования и науки,1034637005347,u466,федеральное государственное бюджетное образовательное учреждение высшего образования «Курский государственный медицинский университет» Министерства здравоохранения  Российской Федерации,2291,90А01 0002413,ФГБОУ ВО КГМУ Минздрава  России,28.03.2020,Курская область,Действующее
466,{},,<HtmlResponse 200 http://isga.obrnadzor.gov.ru/accredreestr/details/0b0e1110-0b13-0b13-0d11-0d130e0b1113/1/>,{'Распоряжение о переоформлении': 'Распоряжение от 07.10.2016 №2638-06'},Постоянное,07.10.2016,11.10.2016,3904014891,"236022, Калининградская область, г. Калининград, Советский проспект, д. 1",Федеральная служба по надзору в сфере образования и науки,1023900592561,u467,федеральное государственное бюджетное образовательное учреждение высшего образования «Калининградский государственный технический университет»,2286,90А01 0002408,"ФГБОУ ВО «Калининградский государственный технический университет»; ФГБОУ ВО «КГТУ», КГТУ",31.01.2020,Калининградская область,Действующее
467,"{'федеральное государственное бюджетное  образовательное учреждение высшего образования «Оренбургский государственный педагогический университет»': ['Приказ от 24.05.2017 №846', 'Действующее']}",,<HtmlResponse 200 http://isga.obrnadzor.gov.ru/accredreestr/details/0b0e1110-0b13-0a0c-110f-0c0a0f10110e/1/>,{'Распоряжение о переоформлении': 'Распоряжение от 06.10.2016 №2615-06'},Постоянное,06.10.2016,11.10.2016,5610036423,"460014, Оренбургская область, город Оренбург, улица Советская, дом 19",Федеральная служба по надзору в сфере образования и науки,1025601032544,u468,федеральное государственное бюджетное  образовательное учреждение высшего образования «Оренбургский государственный педагогический университет»,2284,90А01 0002406,"Оренбургский государственный педагогический университет, ФГБОУ ВО «ОГПУ»",03.02.2021,Оренбургская область,Действующее
468,"{'Университетский казачий кадетский корпус-интернат (филиал) федерального государственного бюджетного образовательного учреждения высшего образования «Московский государственный университет технологий и управления имени К.Г. Разумовского (Первый казачий университет)» в г. Морозовске Ростовской области': ['Приказ от 06.10.2016 №1672', 'Действующее']}",,<HtmlResponse 200 http://isga.obrnadzor.gov.ru/accredreestr/details/0b0e1110-0c12-0c0e-100c-0a0a120e0d13/1/>,{},Постоянное,06.10.2016,12.10.2016,7709125605,"109004, г. Москва, ул. Земляной Вал, д. 73",Федеральная служба по надзору в сфере образования и науки,1027700200494,u469,федеральное государственное бюджетное образовательное учреждение высшего образования «Московский государственный университет технологий и управления имени К.Г. Разумовского (Первый казачий университет)»,2289,90А01 0002411,ФГБОУ ВО «МГУТУ им. К.Г. Разумовского (Первый казачий университет)»,06.10.2028,г. Москва,Действующее
469,{},,<HtmlResponse 200 http://isga.obrnadzor.gov.ru/accredreestr/details/0b0e110f-0e13-0c13-0a10-0a0c110d0f13/1/>,{},Постоянное,29.09.2016,03.10.2016,4629019211,"305009,  г.  Курск, ул. Маяковского, д.  85",Федеральная служба по надзору в сфере образования и науки,1034637002289,u470,Частное образовательное учреждение высшего образования «Региональный открытый социальный институт»,2273,90А01 0002395,ЧОУ ВО «РОСИ»,29.05.2020,Курская область,Действующее
470,"{'федеральное государственное бюджетное  образовательное учреждение высшего образования «Кубанский государственный университет»': ['Распоряжение от 07.11.2018 №1586-06', 'Действующее'], 'филиал федерального государственного бюджетного образовательного учреждения высшего образования «Кубанский государственный университет» в г. Новороссийске': ['Распоряжение от 29.09.2016 №2580-06', 'Недействующее'], 'филиал федерального государственного бюджетного образовательного учреждения высшего образования «Кубанский государственный университет» в г. Тихорецке': ['Распоряжение от 29.09.2016 №2580-06', 'Недействующее'], 'филиал федерального государственного бюджетного образовательного учреждения высшего образования «Кубанский государственный университет» в г. Славянске-на-Кубани': ['Приказ от 01.11.2017 №1838', 'Действующее'], 'федеральное государственное бюджетное образовательное учреждение высшего образования «Кубанский государственный университет»': ['Распоряжение от 29.09.2016 №2580-06', 'Действующее'], 'филиал федерального государственного бюджетного образовательного учреждения высшего образования «Кубанский государственный университет» в г. Геленджике': ['Распоряжение от 29.09.2016 №2580-06', 'Недействующее'], 'филиал федерального государственного бюджетного образовательного учреждения высшего образования «Кубанский государственный университет» в г. Армавире': ['Распоряжение от 12.10.2018 №1476-06', 'Действующее'], 'филиал федерального государственного бюджетного  образовательного учреждения высшего  образования «Кубанский государственный университет» в г. Славянске-на-Кубани': ['Распоряжение от 29.09.2016 №2580-06', 'Недействующее']}",,<HtmlResponse 200 http://isga.obrnadzor.gov.ru/accredreestr/details/0b0e110f-0e13-0e0f-0c12-120b120a110a/1/>,{'Распоряжение о переоформлении': 'Распоряжение от 07.11.2018 №1586-06'},Постоянное,29.09.2016,03.10.2016,2312038420,"350040, Краснодарский край, г. Краснодар, ул. Ставропольская, д. 149",Федеральная служба по надзору в сфере образования и науки,1022301972516,u471,федеральное государственное бюджетное образовательное учреждение высшего образования «Кубанский государственный университет»,2274,90А01 0002396,"ФГБОУ ВО «КубГУ», ФГБОУ ВО «Кубанский государственный университет» , Кубанский государственный университет",01.04.2019,Краснодарский край,Действующее
471,"{'федеральное государственное автономное  образовательное учреждение высшего образования «Северо-Кавказский федеральный университет»': ['Приказ от 21.03.2014 №305', 'Действующее']}",,<HtmlResponse 200 http://isga.obrnadzor.gov.ru/accredreestr/details/957bdaea-8438-428b-8cbb-4feebd4c3554/1/>,{},Постоянное,29.09.2016,05.10.2016,2635014955,"355009, г. Ставрополь, ул. Пушкина, д. 1",Федеральная служба по надзору в сфере образования и науки,1022601961580,,федеральное государственного автономное  образовательного учреждения высшего профессионального образования «Северо-Кавказский федеральный университет»,2275,90А01 0002397,"ФГАОУ ВПО «Северо-Кавказский федеральный университет», Северо-Кавказский федеральный университет, СКФУ",21.03.2026,Ставропольский край,Действующее
472,"{'Институт сервиса, туризма и дизайна (филиал) федерального государственного автономного образовательного учреждения высшего образования «Северо-Кавказский федеральный университет»': ['Приказ от 05.12.2018 №1615', 'Действующее'], 'федеральное государственное автономное образовательное учреждение высшего образования «Северо-Кавказский федеральный университет»': ['Приказ от 05.12.2018 №1615', 'Действующее'], 'федеральное государственное автономное  образовательное учреждение высшего образования «Северо-Кавказский федеральный университет»': ['Распоряжение от 29.09.2016 №2583-06', 'Действующее'], 'Невинномысский технологический институт (филиал) федерального государственного автономного образовательного учреждения высшего  образования «Северо-Кавказский федеральный университет»': ['Распоряжение от 29.09.2016 №2583-06', 'Действующее']}",,<HtmlResponse 200 http://isga.obrnadzor.gov.ru/accredreestr/details/0b0e110f-100f-0a0b-0e0a-0f130a0f0b0e/1/>,{'Распоряжение о переоформлении': 'Распоряжение от 29.09.2016 №2583-06'},Постоянное,29.09.2016,05.10.2016,2635014955,"355009, г. Ставрополь, ул. Пушкина, д. 1",Федеральная служба по надзору в сфере образования и науки,1022601961580,u473,федеральное государственное автономное  образовательное учреждение высшего образования «Северо-Кавказский федеральный университет»,2276,90А01 0002398,"ФГАОУ ВО «Северо-Кавказский федеральный университет», Северо-Кавказский федеральный университет, СКФУ",21.03.2020,Ставропольский край,Действующее
473,"{'Стерлитамакский институт физической культуры (филиал) Федерального государственного бюджетного образовательного учреждения высшего  образования «Уральский государственный университет физической культуры»': ['Распоряжение от 28.09.2016 №2562-06', 'Действующее'], 'Екатеринбургский институт физической культуры (филиал)  Федерального государственного бюджетного образовательного учреждения высшего  образования «Уральский государственный университет физической культуры»': ['Распоряжение от 28.09.2016 №2562-06', 'Действующее'], 'Екатеринбургский институт физической культуры (филиал) Федерального государственного бюджетного образовательного учреждения высшего образования «Уральский государственный университет физической культуры»': ['Приказ от 18.07.2017 №1227', 'Действующее'], 'Федеральное государственное бюджетное образовательное учреждение высшего образования «Уральский государственный университет физической культуры»': ['Распоряжение от 28.09.2016 №2562-06', 'Действующее'], 'Башкирский институт физической культуры (филиал) Федерального государственного бюджетного образовательного учреждения высшего образования «Уральский государственный университет физической культуры»': ['Распоряжение от 28.09.2016 №2562-06', 'Действующее']}",,<HtmlResponse 200 http://isga.obrnadzor.gov.ru/accredreestr/details/0b0e110f-0c0c-110b-0d11-0d0d0b12120b/1/>,{'Распоряжение о переоформлении': 'Распоряжение от 28.09.2016 №2562-06'},Постоянное,28.09.2016,30.09.2016,7451002420,"454091, Челябинская область, г. Челябинск, ул. Орджоникидзе, дом 1",Федеральная служба по надзору в сфере образования и науки,1027402926484,u474,Федеральное государственное бюджетное образовательное учреждение высшего образования «Уральский государственный университет физической культуры»,2268,90А01 0002390,"ФГБОУ ВО ""УралГУФК""",01.07.2021,Челябинская область,Действующее
474,"{'филиал федерального государственного бюджетного образовательного учреждения высшего образования «Воронежский государственный технический университет»  в городе Борисоглебске': ['Приказ от 17.04.2017 №620', 'Действующее'], 'федеральное государственное бюджетное  образовательное учреждение высшего образования «Воронежский государственный технический университет»': ['Распоряжение от 27.09.2016 №2550-06', 'Действующее']}",,<HtmlResponse 200 http://isga.obrnadzor.gov.ru/accredreestr/details/0b0e110f-0c0c-0e11-0c0d-0f0f11120c0d/1/>,{'Распоряжение о переоформлении': 'Распоряжение от 27.09.2016 №2550-06'},Постоянное,27.09.2016,30.09.2016,3662020886,"394026, Воронежская область, г. Воронеж, Московский проспект, 14",Федеральная служба по надзору в сфере образования и науки,1033600070448,u475,федеральное государственное бюджетное  образовательное учреждение высшего образования «Воронежский государственный технический университет»,2262,90А01 0002383,"ФГБОУ ВО «Воронежский государственный технический университет», Воронежский государственный технический университет,  ФГБОУ ВО «ВГТУ», ВГТУ",29.10.2021,Воронежская область,Действующее
475,"{'бюджетное учреждение высшего образования Ханты-Мансийского автономного округа - Югры «Сургутский государственный педагогический университет»': ['Приказ от 24.05.2005 №1305', 'Лишение в отношении отдельных уровней образования, укрупненных групп специальностей и направлений подготовки']}",,<HtmlResponse 200 http://isga.obrnadzor.gov.ru/accredreestr/details/0b0e110f-0c0c-0e13-100f-1112120a0d0e/1/>,{'Распоряжение о переоформлении': 'Распоряжение от 27.09.2016 №2551-06'},Постоянное,27.09.2016,30.09.2016,8602200530,"628417, Ханты-Мансийский автономный округ - Югра, город Сургут, улица 50 лет ВЛКСМ, дом 10/2",Федеральная служба по надзору в сфере образования и науки,1028600614987,u476,бюджетное учреждение высшего образования Ханты-Мансийского автономного округа - Югры «Сургутский государственный педагогический университет»,2263,90А01 0002384,БУ «Сургутский государственный педагогический университет»,31.03.2021,Ханты-Мансийский автономный округ - Югра,Действующее
476,"{'Частное образовательное учреждение высшего  образования «ИНСТИТУТ ДРУЖБЫ НАРОДОВ КАВКАЗА»': ['Распоряжение от 27.09.2016 №2554-06', 'Недействующее'], 'Частное образовательное учреждение высшего образования «ИНСТИТУТ ДРУЖБЫ НАРОДОВ КАВКАЗА»': ['Распоряжение от 11.10.2018 №1468-06', 'Действующее']}",,<HtmlResponse 200 http://isga.obrnadzor.gov.ru/accredreestr/details/0b0e110f-0c0c-100f-0e0c-0f0c0e110f0e/1/>,"{'Приказ о лишении ГА': 'Приказ от 04.07.2017 №1128', 'Распоряжение о переоформлении': 'Распоряжение от 11.10.2018 №1468-06'}",Постоянное,27.09.2016,30.09.2016,2634034275,"355008, Ставропольский край, г. Ставрополь, пр. К. Маркса, 7",Федеральная служба по надзору в сфере образования и науки,1022601953131,u477,Частное образовательное учреждение высшего  образования «ИНСТИТУТ ДРУЖБЫ НАРОДОВ КАВКАЗА»,2266,90А01 0002388,"ЧОУ ВО «ИНСТИТУТ ДРУЖБЫ НАРОДОВ КАВКАЗА», ЧОУ ВО «ИДНК», ИДНК, ЧОУ «ИДНК», ЧОУ «ИНСТИТУТ ДРУЖБЫ НАРОДОВ КАВКАЗА",01.04.2019,Ставропольский край,Действующее
477,"{'федеральное государственное бюджетное  образовательное учреждение высшего образования «Уральский государственный лесотехнический университет»': ['Приказ от 17.07.2017 №1204', 'Действующее']}",,<HtmlResponse 200 http://isga.obrnadzor.gov.ru/accredreestr/details/0b0e110f-0c0c-1011-0d0b-1112100e0b12/1/>,{'Распоряжение о переоформлении': 'Распоряжение от 27.09.2016 №2555-06'},Постоянное,27.09.2016,30.09.2016,6662000973,"620100, Свердловская область, г. Екатеринбург, Сибирский тракт, д. 37",Федеральная служба по надзору в сфере образования и науки,1026605426814,u478,федеральное государственное бюджетное  образовательное учреждение высшего образования «Уральский государственный лесотехнический университет»,2267,90А01 0002389,"ФГБОУ  ВО ""УГЛТУ"", УГЛТУ, Уральский государственный лесотехнический университет, ФГБОУ ВО ""Уральский государственный лесотехнический университет""",01.04.2022,Свердловская область,Действующее
478,{},,<HtmlResponse 200 http://isga.obrnadzor.gov.ru/accredreestr/details/0b0e110f-0a0f-0e0e-0f0e-0f0f0a0a0b10/1/>,{},Постоянное,26.09.2016,28.09.2016,7414002238,"455000, Челябинская область, г. Магнитогорск, проспект  Ленина, д. 38",Федеральная служба по надзору в сфере образования и науки,1027402065437,u479,федеральное государственное бюджетное образовательное учреждение высшего образования «Магнитогорский государственный технический университет им. Г.И. Носова»,2259,90А01 0002380,"ФГБОУ ВО «Магнитогорский государственный технический университет им. Г.И. Носова», ФГБОУ ВО «МГТУ им. Г.И. Носова», Магнитогорский государственный технический университет им. Г.И. Носова, МГТУ им. Г.И. Носова",31.03.2021,Челябинская область,Действующее
479,"{'Федеральное государственное бюджетное образовательное учреждение высшего образования «Российская государственная академия интеллектуальной собственности»': ['Приказ от 13.06.2017 №973', 'Действующее']}",,<HtmlResponse 200 http://isga.obrnadzor.gov.ru/accredreestr/details/0b0e110f-0a0f-0e0e-0f0e-0d0a0e0d130c/1/>,{'Распоряжение о переоформлении': 'Распоряжение от 26.09.2016 №2539-06'},Постоянное,26.09.2016,28.09.2016,7703108441,"117279, Москва, ул. Миклухо-Маклая, дом 55а",Федеральная служба по надзору в сфере образования и науки,1027700083850,u480,Федеральное государственное бюджетное образовательное учреждение высшего образования «Российская государственная академия интеллектуальной собственности»,2260,90А01 0002381,ФГБОУ ВО РГАИС,18.11.2019,г. Москва,Действующее
480,"{'федеральное государственное бюджетное образовательное учреждение высшего образования «Национальный исследовательский Мордовский государственный университет им. Н.П. Огарёва»': ['Распоряжение от 18.07.2018 №1115-06', 'Действующее'], 'Ковылкинский филиал федерального государственного бюджетного образовательного учреждения высшего образования «Национальный исследовательский Мордовский государственный университет им. Н.П. Огарёва»': ['Распоряжение от 18.07.2018 №1115-06', 'Действующее'], 'Рузаевский институт машиностроения (филиал) федерального государственного бюджетного образовательного учреждения высшего образования «Национальный исследовательский Мордовский государственный университет им. Н.П. Огарёва»': ['Распоряжение от 18.07.2018 №1115-06', 'Действующее']}",,<HtmlResponse 200 http://isga.obrnadzor.gov.ru/accredreestr/details/0b0e110e-1310-100a-0a12-0f100d130a0f/1/>,{'Распоряжение о переоформлении': 'Распоряжение от 18.07.2018 №1115-06'},Постоянное,23.09.2016,27.09.2016,1326043499,"430005, Республика Мордовия, г. Саранск, ул. Большевистская, д. 68",Федеральная служба по надзору в сфере образования и науки,1021300973275,u481,федеральное государственное бюджетное образовательное учреждение высшего образования «Национальный исследовательский Мордовский государственный университет им. Н.П. Огарёва»,2256,90А01 0002377,"Национальный исследовательский Мордовский государственный университет, МГУ им. Н.П. Огарёва, ФГБОУ ВО «МГУ им. Н.П. Огарёва»",31.05.2019,Республика Мордовия,Действующее
